Tree Species,Common Name,Diameter at Breast Height (in Feet),Number of Trunks,Location Type,Location
vacant site large,"vacant site, large",0,0,Street,"(40.14917751290, -88.25537398080)"
Acer rubrum,"maple, red",3,1,Street,"(40.15283684640, -88.25556236980)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15283451800, -88.25573340930)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15283457350, -88.25581629820)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15283308460, -88.25601177050)"
Carpinus caroliniana,"hornbeam, American",4,1,Street,"(40.15563423120, -88.26253891950)"
Carpinus caroliniana,"hornbeam, American",4,1,Street,"(40.15563745140, -88.26241817300)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15283399050, -88.25617640270)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15281301460, -88.25650150720)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15499212420, -88.26199712380)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15438214740, -88.26196799710)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15586995830, -88.26090668690)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15577468600, -88.26145100990)"
vacant site large,"vacant site, large",0,0,Street,"(40.14904633560, -88.25510483700)"
vacant site large,"vacant site, large",0,0,Street,"(40.14904620410, -88.25491052210)"
vacant site large,"vacant site, large",0,0,Street,"(40.14904608890, -88.25474053230)"
vacant site large,"vacant site, large",0,0,Street,"(40.14904925680, -88.25455479890)"
vacant site large,"vacant site, large",0,0,Street,"(40.14905130090, -88.25437192860)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15564041440, -88.26192407110)"
Acer x freemanii,"maple, Freeman",2,1,Street,"(40.15567940410, -88.26207300050)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15570692150, -88.26222584170)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15482394710, -88.26291783460)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15464208470, -88.26291752150)"
vacant site large,"vacant site, large",0,0,Street,"(40.14904508620, -88.25016096510)"
vacant site large,"vacant site, large",0,0,Street,"(40.14904823120, -88.24999165100)"
vacant site large,"vacant site, large",0,0,Street,"(40.14904810350, -88.24981450680)"
vacant site large,"vacant site, large",0,0,Street,"(40.14905236050, -88.24962734090)"
vacant site large,"vacant site, large",0,0,Street,"(40.14905387680, -88.24944661750)"
vacant site large,"vacant site, large",0,0,Street,"(40.14905705070, -88.24928088050)"
vacant site large,"vacant site, large",0,0,Street,"(40.14905802840, -88.24911514630)"
vacant site large,"vacant site, large",0,0,Street,"(40.14906009960, -88.24894372290)"
vacant site large,"vacant site, large",0,0,Street,"(40.14949326000, -88.25218696770)"
vacant site large,"vacant site, large",0,0,Street,"(40.14963194690, -88.25219395710)"
vacant site large,"vacant site, large",0,0,Street,"(40.14975583690, -88.25219953340)"
vacant site large,"vacant site, large",0,0,Street,"(40.14988301690, -88.25219938200)"
vacant site large,"vacant site, large",0,0,Street,"(40.15000800080, -88.25219923330)"
Acer x freemanii,"maple, Freeman",2,1,Street,"(40.15571688330, -88.26240016670)"
vacant site large,"vacant site, large",0,0,Street,"(40.15014064650, -88.25220333250)"
vacant site large,"vacant site, large",0,0,Street,"(40.15025358250, -88.25220749080)"
vacant site large,"vacant site, large",0,0,Street,"(40.15039281440, -88.25220875610)"
vacant site large,"vacant site, large",0,0,Street,"(40.15078311520, -88.25221401550)"
vacant site large,"vacant site, large",0,0,Street,"(40.15093330100, -88.25221669860)"
vacant site large,"vacant site, large",0,0,Street,"(40.15106268110, -88.25222226850)"
vacant site large,"vacant site, large",0,0,Street,"(40.15119861590, -88.25221924490)"
Carpinus caroliniana,"hornbeam, American",2,1,Street,"(40.15563408810, -88.26230530410)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14982280200, -88.26233106850)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14969887660, -88.26226691410)"
vacant site large,"vacant site, large",0,0,Street,"(40.15151655410, -88.25222172850)"
vacant site large,"vacant site, large",0,0,Street,"(40.15412121600, -88.26199542350)"
vacant site large,"vacant site, large",0,0,Street,"(40.15398852060, -88.26199910400)"
vacant site large,"vacant site, large",0,0,Street,"(40.15386132840, -88.26197923900)"
vacant site large,"vacant site, large",0,0,Street,"(40.15390839730, -88.26183061680)"
vacant site large,"vacant site, large",0,0,Street,"(40.15404434030, -88.26184045540)"
Carpinus caroliniana,"hornbeam, American",2,1,Street,"(40.15281148500, -88.26290277710)"
Acer saccharum,"maple, sugar",3,1,Street,"(40.15080231200, -88.26315211690)"
vacant site large,"vacant site, large",0,0,Street,"(40.15417697940, -88.26183462810)"
vacant site large,"vacant site, large",0,0,Street,"(40.15431029880, -88.26181903350)"
vacant site large,"vacant site, large",0,0,Street,"(40.15443966600, -88.26180462350)"
vacant site large,"vacant site, large",0,0,Street,"(40.15460773860, -88.26178963620)"
vacant site large,"vacant site, large",0,0,Street,"(40.15474260470, -88.26178949470)"
vacant site large,"vacant site, large",0,0,Street,"(40.15487745850, -88.26181364470)"
vacant site large,"vacant site, large",0,0,Street,"(40.15500438140, -88.26184195300)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.14948474120, -88.26201401090)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.07177800460, -88.28877826780)"
Tilia cordata,"linden, littleleaf",2,1,Street,"(40.07134520270, -88.28869458060)"
Tilia cordata,"linden, littleleaf",2,1,Street,"(40.07120685930, -88.28843908320)"
Tilia cordata,"linden, littleleaf",3,1,Street,"(40.07131908340, -88.28851829790)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.07188173700, -88.28862015810)"
Fraxinus americana,"ash, white",3,1,Street,"(40.07281680720, -88.28804682800)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.07257776650, -88.28750139050)"
Fraxinus americana,"ash, white",3,1,Street,"(40.07247186370, -88.28723543530)"
Acer saccharum,"maple, sugar",8,1,Street,"(40.13724294100, -88.25420537280)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.13743057420, -88.25433434260)"
vacant site large,"vacant site, large",0,0,Street,"(40.15545302180, -88.26168117180)"
vacant site large,"vacant site, large",0,0,Street,"(40.15570725410, -88.26125427840)"
vacant site large,"vacant site, large",0,0,Street,"(40.15574106990, -88.26098417110)"
vacant site large,"vacant site, large",0,0,Street,"(40.15574315330, -88.26080414500)"
vacant site large,"vacant site, large",0,0,Street,"(40.15574304310, -88.26062841440)"
vacant site large,"vacant site, large",0,0,Street,"(40.15586200270, -88.26043373840)"
Zelkova serrata,"zelkova, Japanese",14,1,Street,"(40.07875754330, -88.26434790850)"
Picea pungens,"spruce, Colorado",12,1,Street,"(40.07883659360, -88.26410225420)"
vacant site large,"vacant site, large",0,0,Street,"(40.15586867040, -88.26060377390)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.14956430860, -88.26203782380)"
Pyrus calleryana,"pear, Callery",19,1,Street,"(40.07840468950, -88.26435584040)"
Pyrus calleryana,"pear, Callery",15,1,Street,"(40.07887843310, -88.26397081220)"
Pyrus calleryana,"pear, Callery",9,1,Street,"(40.07892492390, -88.26381413600)"
Picea glauca,"spruce, white",10,1,Street,"(40.07935202540, -88.26270399810)"
Quercus alba,"oak, white",1,4,Street,"(40.07981019620, -88.26271942720)"
Ulmus x,"elm, hybrid",1,1,Street,"(40.07986728200, -88.26278855330)"
Quercus rubra,"oak, northern red",12,1,Street,"(40.07998112690, -88.26293145180)"
Quercus rubra,"oak, northern red",12,1,Street,"(40.08010112770, -88.26308578000)"
Quercus bicolor,"oak, swamp white",13,1,Street,"(40.08025618300, -88.26328474310)"
Quercus bicolor,"oak, swamp white",11,1,Street,"(40.08032753150, -88.26338001440)"
Fraxinus americana,"ash, white",11,1,Street,"(40.08044624040, -88.26353263020)"
vacant site large,"vacant site, large",0,0,Street,"(40.15586987420, -88.26077234860)"
Quercus rubra,"oak, northern red",8,1,Street,"(40.08075631820, -88.26392470060)"
Quercus rubra,"oak, northern red",10,1,Street,"(40.08091782820, -88.26413213060)"
Acer saccharum,"maple, sugar",15,1,Street,"(40.08069611010, -88.26404966080)"
Acer saccharum,"maple, sugar",12,1,Street,"(40.08050863730, -88.26380680760)"
Fraxinus americana,"ash, white",17,1,Street,"(40.08043209880, -88.26370818160)"
Acer saccharum,"maple, sugar",16,1,Street,"(40.08029715170, -88.26353110280)"
vacant site large,"vacant site, large",0,0,Street,"(40.15586571670, -88.26110385220)"
Malus spp.,"crabapple, flowering",12,1,Street,"(40.08061177010, -88.26394171500)"
Acer saccharum,"maple, sugar",13,1,Street,"(40.08009152390, -88.26327394080)"
Quercus bicolor,"oak, swamp white",17,1,Street,"(40.08001693450, -88.26317613600)"
Betula nigra,"birch, river",15,1,Street,"(40.07988327940, -88.26300331060)"
Quercus rubra,"oak, northern red",15,1,Street,"(40.07957334930, -88.26281376450)"
Quercus macrocarpa,"oak, bur",14,1,Street,"(40.07932843190, -88.26299880690)"
Acer saccharum,"maple, sugar",13,1,Street,"(40.07918997930, -88.26342591960)"
Acer rubrum,"maple, red",13,1,Street,"(40.07910199040, -88.26368673700)"
vacant site large,"vacant site, large",0,0,Street,"(40.15627658220, -88.26294441840)"
Acer rubrum,"maple, red",17,1,Street,"(40.07905732800, -88.26382518660)"
Acer rubrum,"maple, red",9,1,Street,"(40.07974425790, -88.26463623130)"
Quercus bicolor,"oak, swamp white",12,1,Street,"(40.07987843900, -88.26463523880)"
Quercus bicolor,"oak, swamp white",13,1,Street,"(40.08003139780, -88.26463594280)"
Quercus bicolor,"oak, swamp white",11,1,Street,"(40.08013642570, -88.26463497960)"
Cercis canadensis,"redbud, eastern",11,1,Street,"(40.08033281030, -88.26463224490)"
vacant site large,"vacant site, large",0,0,Street,"(40.15614391080, -88.26294240880)"
Fraxinus pennsylvanica,"ash, green",18,1,Street,"(40.13423521030, -88.27202982260)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.13745244350, -88.25448217480)"
vacant site large,"vacant site, large",0,0,Street,"(40.15601511050, -88.26294121810)"
vacant site large,"vacant site, large",0,0,Street,"(40.15588136810, -88.26293849410)"
vacant site large,"vacant site, large",0,0,Street,"(40.15558635050, -88.26293382590)"
vacant site large,"vacant site, large",0,0,Street,"(40.15544492280, -88.26293254090)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.14963997390, -88.26205487970)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14900901210, -88.25667925320)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14901217650, -88.25648353950)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14901426340, -88.25631923510)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14901414730, -88.25614491700)"
vacant site large,"vacant site, large",0,0,Street,"(40.15078514600, -88.25237009150)"
vacant site large,"vacant site, large",0,0,Street,"(40.15014295160, -88.25235908480)"
vacant site large,"vacant site, large",0,0,Street,"(40.15001796570, -88.25235637140)"
vacant site large,"vacant site, large",0,0,Street,"(40.14988532390, -88.25235795980)"
vacant site large,"vacant site, large",0,0,Street,"(40.14975704290, -88.25235381940)"
vacant site large,"vacant site, large",0,0,Street,"(40.14963644810, -88.25234966990)"
Acer platanoides,"maple, Norway",3,1,Street,"(40.07021817960, -88.28719732890)"
vacant site large,"vacant site, large",0,0,Street,"(40.15166893800, -88.25222723530)"
vacant site large,"vacant site, large",0,0,Street,"(40.15179721900, -88.25223137550)"
vacant site large,"vacant site, large",0,0,Street,"(40.15192769500, -88.25223408220)"
vacant site large,"vacant site, large",0,0,Street,"(40.15529046670, -88.26196257440)"
Carpinus caroliniana,"hornbeam, American",3,1,Street,"(40.15561536740, -88.26217245250)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14955456040, -88.26221125930)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14940872540, -88.26218572680)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.14935095450, -88.26198417350)"
vacant site large,"vacant site, large",0,0,Street,"(40.15515891400, -88.26199415880)"
Carpinus caroliniana,"hornbeam, American",2,1,Street,"(40.15559666850, -88.26207530510)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.15590728910, -88.26277010600)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15605308240, -88.26277281720)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15620282820, -88.26277480870)"
Zelkova serrata,"zelkova, Japanese",1,1,Street,"(40.15021160900, -88.26249758000)"
Acer rubrum,"maple, red",1,1,Street,"(40.15071412470, -88.26294644040)"
vacant site large,"vacant site, large",0,0,Street,"(40.15486218030, -88.26196652870)"
vacant site large,"vacant site, large",0,0,Street,"(40.15473062160, -88.26194380600)"
vacant site large,"vacant site, large",0,0,Street,"(40.15459918650, -88.26194347860)"
vacant site large,"vacant site, large",0,0,Street,"(40.15425278100, -88.26198387360)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15634359810, -88.26277766820)"
Acer saccharum,"maple, sugar",2,1,Street,"(40.15384946310, -88.26291025510)"
Acer rubrum,"maple, red",1,1,Street,"(40.15193509230, -88.26277582680)"
Pyrus calleryana,"pear, Callery",12,1,Street,"(40.13784782020, -88.25752468870)"
Pyrus calleryana,"pear, Callery",9,1,Street,"(40.13785346910, -88.25709727380)"
vacant site large,"vacant site, large",0,0,Street,"(40.15531543480, -88.26292909710)"
vacant site large,"vacant site, large",0,0,Street,"(40.15517933360, -88.26292966690)"
vacant site large,"vacant site, large",0,0,Street,"(40.15434836020, -88.26291764600)"
vacant site large,"vacant site, large",0,0,Street,"(40.15422117900, -88.26291566670)"
vacant site large,"vacant site, large",0,0,Street,"(40.15409073070, -88.26291293940)"
vacant site large,"vacant site, large",0,0,Street,"(40.15371840990, -88.26290599010)"
vacant site large,"vacant site, large",0,0,Street,"(40.15358793760, -88.26290898690)"
vacant site large,"vacant site, large",0,0,Street,"(40.15346039830, -88.26290514760)"
Acer saccharinum,"maple, silver",29,1,Street,"(40.12299148100, -88.29021346120)"
Malus spp.,"crabapple, flowering",4,1,Street,"(40.12333732190, -88.29024739240)"
Quercus rubra,"oak, northern red",15,1,Street,"(40.12369030620, -88.29007667070)"
Quercus rubra,"oak, northern red",15,1,Street,"(40.12383038940, -88.29000470610)"
vacant site large,"vacant site, large",0,0,Street,"(40.15332446070, -88.26290385710)"
vacant site large,"vacant site, large",0,0,Street,"(40.15318844340, -88.26290703840)"
vacant site large,"vacant site, large",0,0,Street,"(40.15305530360, -88.26290231060)"
vacant site large,"vacant site, large",0,0,Street,"(40.15292263260, -88.26290101670)"
Acer rubrum,"maple, red",16,1,Street,"(40.12452548670, -88.28711751270)"
Acer rubrum,"maple, red",20,1,Street,"(40.12428207830, -88.28711767760)"
Fraxinus americana,"ash, white",14,1,Street,"(40.12412925550, -88.28711041470)"
Fraxinus americana,"ash, white",10,1,Street,"(40.12400048270, -88.28711050190)"
Acer saccharum,"maple, sugar",14,1,Street,"(40.12379266640, -88.28763415510)"
vacant site large,"vacant site, large",0,0,Street,"(40.15241190950, -88.26290276060)"
vacant site large,"vacant site, large",0,0,Street,"(40.15227849580, -88.26289892750)"
Acer platanoides,"maple, Norway",18,1,Street,"(40.13467066950, -88.27276793770)"
Ulmus americana,"elm, American",2,1,Street,"(40.14980626760, -88.26213769850)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.15091000070, -88.26301431480)"
vacant site large,"vacant site, large",0,0,Street,"(40.15214393510, -88.26290486190)"
vacant site large,"vacant site, large",0,0,Street,"(40.15195034240, -88.26293550540)"
vacant site large,"vacant site, large",0,0,Street,"(40.15181989610, -88.26298135890)"
vacant site large,"vacant site, large",0,0,Street,"(40.15169107160, -88.26303089530)"
vacant site large,"vacant site, large",0,0,Street,"(40.15142475300, -88.26313806120)"
vacant site large,"vacant site, large",0,0,Street,"(40.15128900300, -88.26317479720)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15098454030, -88.26303137330)"
vacant site large,"vacant site, large",0,0,Street,"(40.15115634410, -88.26319350010)"
vacant site large,"vacant site, large",0,0,Street,"(40.15066744640, -88.26310796860)"
vacant site large,"vacant site, large",0,0,Street,"(40.15054807910, -88.26304516670)"
vacant site large,"vacant site, large",0,0,Street,"(40.15042787420, -88.26295907760)"
vacant site large,"vacant site, large",0,0,Street,"(40.14993896390, -88.26222470240)"
vacant site large,"vacant site, large",0,0,Street,"(40.15004745230, -88.26231806370)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15111098170, -88.26303550000)"
Acer saccharum,"maple, sugar",2,1,Street,"(40.15156006450, -88.26292174200)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15432005630, -88.25611086250)"
Fraxinus pennsylvanica,"ash, green",4,1,Street,"(40.15431858600, -88.25584129910)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15432187540, -88.25567043370)"
vacant site large,"vacant site, large",0,0,Street,"(40.15030378180, -88.26262032850)"
vacant site large,"vacant site, large",0,0,Street,"(40.15041458590, -88.26273021560)"
vacant site large,"vacant site, large",0,0,Street,"(40.15052590450, -88.26282872670)"
vacant site large,"vacant site, large",0,0,Street,"(40.15124032510, -88.26302678100)"
vacant site large,"vacant site, large",0,0,Street,"(40.15137402060, -88.26299720160)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15432283600, -88.25522120520)"
vacant site large,"vacant site, large",0,0,Street,"(40.15168721140, -88.26286730620)"
vacant site large,"vacant site, large",0,0,Street,"(40.15181122990, -88.26281451910)"
vacant site large,"vacant site, large",0,0,Street,"(40.15206288800, -88.26275000900)"
vacant site large,"vacant site, large",0,0,Street,"(40.15220096180, -88.26274292590)"
vacant site large,"vacant site, large",0,0,Street,"(40.15292371680, -88.26274303620)"
Ulmus americana,"elm, American",3,1,Street,"(40.15240179250, -88.26274271790)"
Quercus rubra,"oak, northern red",3,1,Street,"(40.07866212100, -88.26448344200)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15432995500, -88.25450569580)"
Quercus alba,"oak, white",4,1,Street,"(40.15433479050, -88.25414962100)"
vacant site large,"vacant site, large",0,0,Street,"(40.15305509890, -88.26274647760)"
